,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,Tenure,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther
3571,Female,Brazil,34.0,Employed full-time,Yes,Programmer,Amazon Machine Learning,Deep learning,Python,Master's degree,"Information technology, networking, or system administration",6 to 10 years,University courses,0.0,0.0,0.0,100.0,0.0,0.0
3577,Male,India,50.0,"Independent contractor, freelancer, or self-employed",Yes,Machine Learning Engineer,Python,Genetic & Evolutionary Algorithms,R,Master's degree,Engineering (non-computer focused),3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",40.0,30.0,0.0,0.0,0.0,30.0
3578,Male,United States,22.0,Employed part-time,Yes,Data Scientist,R,Time Series Analysis,R,Bachelor's degree,Mathematics or statistics,1 to 2 years,University courses,25.0,0.0,25.0,50.0,0.0,0.0
3579,Male,Ukraine,38.0,Employed full-time,No,Business Analyst,TensorFlow,Deep learning,Python,Master's degree,Psychology,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,50.0,50.0,0.0,0.0,0.0
3581,Male,United States,42.0,Employed full-time,Yes,Statistician,Amazon Web services,Bayesian Methods,R,Doctoral degree,Engineering (non-computer focused),6 to 10 years,University courses,50.0,0.0,0.0,50.0,0.0,0.0
3582,Male,Australia,39.0,Employed full-time,Yes,Other,Amazon Machine Learning,Anomaly Detection,Python,Bachelor's degree,Computer Science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",25.0,60.0,10.0,0.0,5.0,0.0
3583,Male,United Kingdom,40.0,Employed full-time,Yes,Data Scientist,Python,Deep learning,Python,Master's degree,A social science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",0.0,25.0,50.0,0.0,25.0,0.0
3584,Male,Pakistan,23.0,Employed full-time,No,Scientist/Researcher,TensorFlow,Deep learning,Python,Bachelor's degree,Electrical Engineering,Less than a year,University courses,5.0,5.0,55.0,30.0,5.0,0.0
3587,Male,United States,56.0,Employed full-time,Yes,Statistician,Jupyter notebooks,Neural Nets,Python,Master's degree,Mathematics or statistics,More than 10 years,University courses,20.0,0.0,20.0,60.0,0.0,0.0
3589,Male,Other,34.0,Employed full-time,Yes,Data Analyst,Spark / MLlib,I don't plan on learning a new ML/DS method,Python,Doctoral degree,Computer Science,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",15.0,50.0,15.0,15.0,5.0,0.0
3590,A different identity,Netherlands,49.0,Employed full-time,Yes,Business Analyst,TensorFlow,Deep learning,Python,Master's degree,Computer Science,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,20.0,0.0,0.0,60.0,0.0
3591,Male,Brazil,29.0,Employed full-time,Yes,Statistician,TensorFlow,Deep learning,R,Bachelor's degree,Mathematics or statistics,6 to 10 years,University courses,14.0,15.0,20.0,50.0,1.0,0.0
3592,Male,United States,33.0,Employed full-time,Yes,Data Analyst,TensorFlow,Deep learning,SQL,Bachelor's degree,Psychology,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",20.0,40.0,0.0,40.0,0.0,0.0
3593,Male,Czech Republic,27.0,Employed full-time,Yes,Other,Julia,Deep learning,Python,Master's degree,Computer Science,3 to 5 years,Self-taught,70.0,0.0,30.0,0.0,0.0,0.0
3594,Male,Germany,27.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Mathematics or statistics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",20.0,25.0,20.0,35.0,0.0,0.0
3596,Male,India,35.0,Employed full-time,Yes,Business Analyst,DataRobot,Deep learning,R,Master's degree,Computer Science,3 to 5 years,Kaggle competitions,50.0,0.0,0.0,0.0,50.0,0.0
3597,Male,Canada,39.0,Employed full-time,Yes,Data Scientist,Python,Deep learning,Python,Doctoral degree,Engineering (non-computer focused),6 to 10 years,University courses,40.0,0.0,20.0,0.0,40.0,0.0
3598,Male,Greece,34.0,Employed full-time,Yes,Data Scientist,Hadoop/Hive/Pig,Bayesian Methods,R,Master's degree,Electrical Engineering,3 to 5 years,University courses,50.0,20.0,20.0,10.0,0.0,0.0
3600,Female,United States,27.0,Employed full-time,Yes,Data Analyst,Tableau,I don't plan on learning a new ML/DS method,R,Master's degree,Mathematics or statistics,3 to 5 years,University courses,50.0,0.0,10.0,40.0,0.0,0.0
3604,Male,United States,40.0,Employed full-time,Yes,Data Scientist,Tableau,Rule Induction,Python,Master's degree,Mathematics or statistics,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",35.0,40.0,0.0,20.0,5.0,0.0
3606,Female,United States,31.0,Employed full-time,Yes,Data Analyst,Python,Factor Analysis,R,Master's degree,A health science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",30.0,20.0,50.0,0.0,0.0,0.0
3607,Male,India,22.0,Employed full-time,Yes,Machine Learning Engineer,I don't plan on learning a new tool/technology,Deep learning,Python,Bachelor's degree,Engineering (non-computer focused),Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,70.0,0.0,0.0,0.0,0.0
3608,Male,Chile,29.0,Employed full-time,Yes,Data Scientist,Python,Deep learning,R,Master's degree,Engineering (non-computer focused),3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",40.0,20.0,20.0,15.0,5.0,0.0
3610,Male,South Africa,23.0,Employed part-time,Yes,Business Analyst,Spark / MLlib,Neural Nets,Python,Master's degree,Mathematics or statistics,3 to 5 years,University courses,50.0,0.0,0.0,50.0,0.0,0.0
3611,Male,Japan,30.0,Employed full-time,Yes,Data Scientist,Julia,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Mathematics or statistics,6 to 10 years,Work,10.0,0.0,70.0,15.0,5.0,0.0
3613,Male,United States,32.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,A social science,6 to 10 years,University courses,40.0,0.0,30.0,30.0,0.0,0.0
3614,Male,Brazil,34.0,Employed full-time,Yes,Software Developer/Software Engineer,NoSQL,Deep learning,Python,Master's degree,Computer Science,3 to 5 years,University courses,20.0,10.0,10.0,60.0,0.0,0.0
3616,Female,United States,26.0,Employed full-time,Yes,Statistician,R,I don't plan on learning a new ML/DS method,R,Master's degree,Mathematics or statistics,3 to 5 years,University courses,0.0,15.0,25.0,60.0,0.0,0.0
3617,Male,Brazil,26.0,Employed full-time,Yes,Business Analyst,Hadoop/Hive/Pig,Deep learning,Python,Bachelor's degree,Management information systems,1 to 2 years,Self-taught,50.0,30.0,0.0,0.0,20.0,0.0
3618,Male,Spain,38.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Bachelor's degree,Computer Science,1 to 2 years,Self-taught,80.0,10.0,8.0,2.0,0.0,0.0
3619,Male,Poland,50.0,Employed full-time,Yes,Scientist/Researcher,Spark / MLlib,Social Network Analysis,R,Doctoral degree,Computer Science,More than 10 years,University courses,30.0,50.0,0.0,20.0,0.0,0.0
3620,Male,Brazil,66.0,Employed full-time,Yes,Software Developer/Software Engineer,SAS Base,Neural Nets,C/C++/C#,Master's degree,"Information technology, networking, or system administration",More than 10 years,University courses,30.0,0.0,0.0,70.0,0.0,0.0
3621,Male,United States,24.0,Employed full-time,Yes,Machine Learning Engineer,TensorFlow,Social Network Analysis,Python,Master's degree,Computer Science,1 to 2 years,University courses,40.0,10.0,20.0,30.0,0.0,0.0
3622,Male,Brazil,35.0,Employed full-time,Yes,Scientist/Researcher,R,Anomaly Detection,R,Doctoral degree,Computer Science,More than 10 years,Self-taught,20.0,0.0,60.0,20.0,0.0,0.0
3623,Male,Brazil,40.0,Employed full-time,Yes,Other,Spark / MLlib,Decision Trees,Scala,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",25.0,60.0,0.0,15.0,0.0,0.0
3626,Male,India,24.0,Employed full-time,No,Data Analyst,IBM SPSS Statistics,Social Network Analysis,Python,Bachelor's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",50.0,30.0,0.0,0.0,0.0,20.0
3627,Male,United States,29.0,Employed full-time,No,Other,Hadoop/Hive/Pig,Social Network Analysis,R,Master's degree,Fine arts or performing arts,3 to 5 years,University courses,0.0,5.0,20.0,70.0,5.0,0.0
3629,A different identity,Switzerland,28.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Bachelor's degree,Computer Science,3 to 5 years,Self-taught,50.0,10.0,30.0,8.0,2.0,0.0
3632,Male,United States,30.0,Employed full-time,Yes,Other,Spark / MLlib,Deep learning,Python,Master's degree,A social science,6 to 10 years,Self-taught,40.0,3.0,10.0,47.0,0.0,0.0
3633,Female,Romania,22.0,Employed part-time,No,Programmer,TensorFlow,Text Mining,Matlab,Bachelor's degree,Computer Science,Less than a year,University courses,10.0,50.0,0.0,35.0,5.0,0.0
3634,Male,United States,27.0,Employed full-time,Yes,Statistician,Amazon Web services,Genetic & Evolutionary Algorithms,R,Master's degree,Mathematics or statistics,3 to 5 years,University courses,20.0,10.0,0.0,65.0,5.0,0.0
3635,Male,Finland,48.0,Employed full-time,No,Engineer,Python,Deep learning,Python,Master's degree,Computer Science,I don't write code to analyze data,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
3636,Male,United States,30.0,Employed full-time,Yes,Other,DataRobot,Genetic & Evolutionary Algorithms,SQL,Bachelor's degree,Mathematics or statistics,3 to 5 years,Self-taught,50.0,10.0,40.0,0.0,0.0,0.0
3637,Female,United Kingdom,27.0,Employed full-time,Yes,Statistician,SQL,Text Mining,Python,Master's degree,Physics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",35.0,50.0,15.0,0.0,0.0,0.0
3638,Male,United States,39.0,Employed full-time,No,Software Developer/Software Engineer,Python,Deep learning,Python,Bachelor's degree,Computer Science,1 to 2 years,Self-taught,70.0,0.0,0.0,0.0,30.0,0.0
3648,Male,Pakistan,21.0,"Independent contractor, freelancer, or self-employed",Yes,Computer Scientist,Google Cloud Compute,Anomaly Detection,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",15.0,50.0,0.0,5.0,30.0,0.0
3649,Female,United Kingdom,57.0,Employed full-time,Yes,Business Analyst,I don't plan on learning a new tool/technology,I don't plan on learning a new ML/DS method,R,Bachelor's degree,Biology,3 to 5 years,University courses,0.0,80.0,0.0,15.0,5.0,0.0
3650,Female,People 's Republic of China,24.0,Employed full-time,Yes,Other,Hadoop/Hive/Pig,Deep learning,Python,Bachelor's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",30.0,40.0,10.0,20.0,0.0,0.0
3651,Male,Belgium,24.0,Employed full-time,Yes,Researcher,Mathematica,Anomaly Detection,Python,Master's degree,Computer Science,1 to 2 years,University courses,40.0,0.0,10.0,50.0,0.0,0.0
3653,Male,India,28.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Deep learning,R,Bachelor's degree,Computer Science,I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
3655,Female,United States,23.0,Employed part-time,No,Other,TensorFlow,Social Network Analysis,R,Master's degree,Psychology,3 to 5 years,University courses,20.0,20.0,5.0,50.0,5.0,0.0
3656,Male,India,33.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Social Network Analysis,Python,Master's degree,Electrical Engineering,Less than a year,"Online courses (coursera, udemy, edx, etc.)",30.0,60.0,5.0,0.0,0.0,5.0
3657,Male,United States,35.0,Employed full-time,Yes,Statistician,TensorFlow,Neural Nets,R,Master's degree,Psychology,6 to 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
3658,Male,Ireland,34.0,Employed full-time,Yes,Business Analyst,Spark / MLlib,Deep learning,Python,Master's degree,A humanities discipline,3 to 5 years,Self-taught,40.0,25.0,25.0,10.0,0.0,0.0
3659,Male,Belgium,24.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Master's degree,Other,1 to 2 years,Self-taught,15.0,5.0,15.0,65.0,0.0,0.0
3660,Male,United States,26.0,Employed full-time,Yes,Engineer,Python,Neural Nets,R,Master's degree,Engineering (non-computer focused),3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",15.0,70.0,15.0,0.0,0.0,0.0
3661,Female,India,43.0,Employed full-time,No,Researcher,Tableau,Deep learning,R,Doctoral degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",40.0,20.0,40.0,0.0,0.0,0.0
3662,Male,United States,23.0,Employed full-time,Yes,Other,TensorFlow,Neural Nets,Python,Bachelor's degree,Computer Science,3 to 5 years,University courses,40.0,30.0,0.0,30.0,0.0,0.0
3663,Female,Australia,34.0,Employed full-time,Yes,Data Scientist,Python,Bayesian Methods,Python,Doctoral degree,Mathematics or statistics,3 to 5 years,University courses,0.0,30.0,40.0,30.0,0.0,0.0
3665,Male,India,33.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Neural Nets,Python,Bachelor's degree,Engineering (non-computer focused),More than 10 years,"Online courses (coursera, udemy, edx, etc.)",0.0,75.0,0.0,0.0,0.0,25.0
3668,Male,Singapore,29.0,Employed full-time,Yes,Data Analyst,TensorFlow,Deep learning,Python,Bachelor's degree,Management information systems,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,80.0,20.0,0.0,0.0,0.0
3670,Male,United States,55.0,Employed full-time,Yes,Software Developer/Software Engineer,Other,Deep learning,Python,Master's degree,A social science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",65.0,35.0,0.0,0.0,0.0,0.0
3671,Male,Brazil,26.0,Employed full-time,No,Software Developer/Software Engineer,Spark / MLlib,Deep learning,Python,Some college/university study without earning a bachelor's degree,Electrical Engineering,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",30.0,50.0,0.0,0.0,20.0,0.0
3672,Male,United States,61.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Bayesian Methods,Python,Doctoral degree,Physics,More than 10 years,Self-taught,50.0,20.0,30.0,0.0,0.0,0.0
3673,Male,Canada,31.0,Employed full-time,Yes,Machine Learning Engineer,TensorFlow,Neural Nets,Python,Doctoral degree,Computer Science,6 to 10 years,University courses,50.0,0.0,0.0,50.0,0.0,0.0
3676,Male,Germany,41.0,Employed full-time,Yes,Machine Learning Engineer,Google Cloud Compute,Anomaly Detection,Python,Doctoral degree,Physics,More than 10 years,Work,30.0,0.0,40.0,10.0,20.0,0.0
3678,Male,United States,38.0,Employed full-time,Yes,Data Scientist,Stan,Bayesian Methods,R,Bachelor's degree,Mathematics or statistics,More than 10 years,Work,10.0,0.0,75.0,15.0,0.0,0.0
3680,Male,United States,33.0,Employed full-time,Yes,Data Scientist,Hadoop/Hive/Pig,Bayesian Methods,R,Master's degree,A humanities discipline,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",40.0,20.0,40.0,0.0,0.0,0.0
3681,Male,United States,37.0,Employed full-time,Yes,Data Scientist,I don't plan on learning a new tool/technology,Deep learning,Python,Doctoral degree,Computer Science,6 to 10 years,Other,15.0,3.0,43.0,6.0,0.0,33.0
3682,Male,United States,33.0,Employed full-time,Yes,Data Miner,R,Bayesian Methods,R,Master's degree,A humanities discipline,1 to 2 years,University courses,0.0,25.0,0.0,75.0,0.0,0.0
3683,Male,United Kingdom,63.0,Employed full-time,Yes,Business Analyst,R,Neural Nets,R,Master's degree,Electrical Engineering,More than 10 years,Self-taught,60.0,30.0,5.0,0.0,5.0,0.0
3686,Female,United States,26.0,Employed full-time,Yes,Software Developer/Software Engineer,Python,Neural Nets,R,Bachelor's degree,Computer Science,3 to 5 years,Self-taught,90.0,0.0,10.0,0.0,0.0,0.0
3688,Male,People 's Republic of China,31.0,Employed full-time,No,Other,Python,Deep learning,Python,Bachelor's degree,Management information systems,I don't write code to analyze data,Self-taught,60.0,30.0,0.0,0.0,10.0,0.0
3689,Male,United States,62.0,Employed full-time,Yes,Software Developer/Software Engineer,Java,I don't plan on learning a new ML/DS method,SAS,Master's degree,A social science,More than 10 years,Work,20.0,10.0,70.0,0.0,0.0,0.0
3691,Male,Italy,45.0,Employed full-time,Yes,Programmer,Amazon Machine Learning,Genetic & Evolutionary Algorithms,R,Master's degree,Mathematics or statistics,3 to 5 years,Self-taught,90.0,5.0,5.0,0.0,0.0,0.0
3692,Male,People 's Republic of China,35.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,Python,Deep learning,Python,Doctoral degree,Computer Science,More than 10 years,Self-taught,80.0,15.0,1.0,2.0,0.0,2.0
3694,Female,United States,30.0,Employed full-time,Yes,Researcher,SQL,Social Network Analysis,Python,Master's degree,A social science,3 to 5 years,Work,30.0,20.0,50.0,0.0,0.0,0.0
3695,Male,United States,22.0,Employed full-time,No,Other,DataRobot,Deep learning,Python,Bachelor's degree,Psychology,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",25.0,25.0,15.0,35.0,0.0,0.0
3697,Male,Argentina,35.0,"Independent contractor, freelancer, or self-employed",Yes,Data Scientist,TensorFlow,Deep learning,R,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",15.0,40.0,40.0,0.0,5.0,0.0
3698,Male,Norway,31.0,Employed full-time,No,Other,Tableau,Regression,Python,Bachelor's degree,A social science,3 to 5 years,Work,10.0,60.0,30.0,0.0,0.0,0.0
3699,Male,India,28.0,Employed full-time,No,Other,R,Regression,R,Master's degree,Other,I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",10.0,50.0,10.0,10.0,10.0,10.0
3702,Male,United States,35.0,Employed full-time,Yes,Statistician,TensorFlow,Rule Induction,R,Master's degree,Mathematics or statistics,3 to 5 years,Self-taught,90.0,10.0,0.0,0.0,0.0,0.0
3703,Male,United Kingdom,26.0,Employed full-time,Yes,Other,Python,Deep learning,Python,Master's degree,Physics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
3704,Male,Republic of China,29.0,Employed full-time,No,Programmer,Spark / MLlib,Deep learning,Python,Bachelor's degree,Electrical Engineering,Less than a year,Self-taught,30.0,50.0,0.0,0.0,20.0,0.0
3705,Male,United States,29.0,Employed full-time,Yes,Data Analyst,TensorFlow,Neural Nets,Python,Bachelor's degree,A humanities discipline,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",15.0,80.0,5.0,0.0,0.0,0.0
3706,Male,Other,54.0,"Independent contractor, freelancer, or self-employed",No,Data Analyst,Tableau,Regression,SQL,Master's degree,A health science,More than 10 years,Self-taught,50.0,10.0,40.0,0.0,0.0,0.0
